index	year	month	day	hour	minute	long_r	lat_r	long_s	lat_s	depth_s
0	2018	9	25	18	8	-89.6801	28.6289	-84.4527	25.2933	108.2676559
1	2018	9	25	18	38	-83.4393	22.5125	-90.0402	23.7420	107.0761343
2	2018	9	25	19	8	-85.7511	28.2110	-85.0778	26.0346	111.420302
3	2018	9	25	19	38	-91.2239	23.1015	-83.6327	25.6215	111.5876939
4	2018	9	25	20	9	-87.8059	27.4385	-91.4132	24.9678	110.0126997
5	2018	9	25	20	38	-84.1148	22.8567	-91.7264	23.9538	111.8285911
6	2018	9	25	21	9	-84.2194	28.7765	-94.9462	25.9813	107.9032685
7	2018	9	25	21	40	-86.9562	23.5110	-95.1984	27.2888	111.3415191
8	2018	9	25	22	8	-90.1550	23.4252	-95.3037	25.5378	111.3173886
9	2018	9	25	22	38	-87.8652	22.8511	-94.2897	23.5424	107.4486766
10	2018	9	25	23	8	-83.4457	27.6194	-91.3781	22.4757	111.370636
11	2018	9	25	23	38	-89.3187	24.3785	-84.7979	23.5157	109.1231226
12	2018	9	26	0	9	-88.4186	23.4756	-83.4823	23.5479	110.5976445
